,SciName,PopName,id
147,Dasypus Novemcinctus,Nine-banded armadillo,114410
148,Pongo Pygmaeus,Bornean orangutan,114507
149,Tamandua Tetradactyla,Southern tamandua,115781
150,Equus Asinus Somalicus,Somali wild ass,115900
151,Hyaenidae,Hyenas,117784
152,Panthera Leo,Lion,118157
152,binom,,id_sp.
153,Lagenorhynchus Acutus,Atlantic white-sided dolphin,120323
154,Elasmobranchii,"Sharks, skates and rays",121258
155,Galeocerdo Cuvier,Tiger Shark,121925
156,Phoca Vitulina,Common seal,122691
157,Panthera Tigris Altaica,Siberian tiger,123006
158,Urochordata,Sea squirt,125605
159,Rana Catesbeiana,Bullfrog,125713
160,Gorilla Gorilla,Gorilla,125932
161,Felis Concolor,Puma,127298
162,Myrmecophaga Tridactyla,Giant anteater,127930
163,Chelonia,Turtles and tortoises,128821
164,Vulpes Vulpes,Red fox,129663
165,Ceratotherium Simum,White rhinoceros,130843
166,Mammalia,Mammals,130962
167,Odobenus Rosmarus,Walrus,131324
168,Felidae,Cats,131431
169,Perissodactyla,Odd-toed ungulates,131496
170,Rhincodon Typus,Whale shark,131975
171,Brachyura,Crab,133615
172,Artiodactyla,Even-toed ungulates,135989
173,Xenopus Laevis,African clawed frog,136654
174,Caretta Caretta,Loggerhead turtle,137597
175,Pelicaniformes,Pelicans and relatives,137837
176,Morus Bassanus,Northern gannet,140504
177,Puma Concolor,Mountain Lion,141429
178,Iguana Iguana,Iguana,142178
179,Mustela Nigripes,Black-footed ferret,143085
180,Electrophorus Electricus,Electric eel,144229
181,Actinopterygii,Ray-finned fishes,144321
182,Rodentia,Rodents,144486
183,Homo Neanderthalensis,Neandertal,145887
184,Fregatidae,Frigatebirds,146661
185,Proboscidea,Elephants,147189
186,Batoidea,Skates and rays,147520
